date,close_bnb,close_btc,close_eth,high_bnb,high_btc,high_eth,low_bnb,low_btc,low_eth,open_bnb,open_btc,open_eth,volume_bnb,volume_btc,volume_eth
2025-03-30,601.8302001953125,82334.5234375,1806.2186279296875,612.7893676757812,83505.0,1847.570556640625,594.21435546875,81573.25,1769.4127197265625,603.1913452148438,82596.984375,1827.31103515625,1204098085,14763760943,9854857162
2025-03-31,0.0,82548.9140625,1823.47998046875,608.5010986328125,83870.125,1852.5513916015625,588.086181640625,81293.890625,1778.6922607421875,601.8302001953125,82336.0625,1806.3165283203125,1538796118,29004228247,15765030938
2025-04-01,611.297119140625,85169.171875,1905.491455078125,618.123779296875,85487.3671875,1926.302978515625,604.7547607421875,82429.359375,1820.350341796875,605.0728149414062,82551.921875,1823.5623779296875,2091803391,28175650319,1000000000000
2025-04-02,590.6375732421875,,1795.313232421875,611.5181884765625,88466.953125,1951.1802978515625,585.1218872070312,82343.5390625,1782.76025390625,611.297119140625,85180.609375,1905.484619140625,1835749587,47584398470,22593742104
2025-04-03,592.1244506835938,,1815.63720703125,609.3446655273438,83909.296875,1844.071044921875,579.444091796875,81282.1015625,1751.380859375,590.6375732421875,82487.4765625,1794.97607421875,2067033502,36852112080,16450974373
2025-04-04,597.5794067382812,,1815.335205078125,599.4798583984375,84696.1484375,1833.956787109375,585.3539428710938,81670.75,1760.588623046875,592.1237182617188,83100.25,1815.60986328125,1520730677,45157640207,18061720814
2025-04-05,593.1148681640625,83504.796875,1805.9732666015625,598.5463256835938,84207.015625,1826.298583984375,589.9329833984375,82377.734375,1767.5135498046875,597.5792846679688,83844.703125,1815.344970703125,1008300251,14380803631,6374712479
2025-04-06,554.5949096679688,78214.484375,1576.72802734375,593.4614868164062,83704.71875,1815.5748291015625,545.3226928710938,77097.7421875,1539.43798828125,593.1387939453125,83504.5078125,1805.9630126953125,1679604717,36294853736,22154445576
2025-04-07,554.4833984375,79235.3359375,1555.240966796875,564.7924194335938,81119.0625,1634.0411376953125,522.7157592773438,74436.6796875,1415.37353515625,554.5949096679688,78221.3359375,1576.9498291015625,2852045942,91262424987,46073959047
2025-04-08,553.4674072265625,76271.953125,1472.5531005859375,564.938232421875,80823.890625,1617.33984375,548.1412353515625,76198.0234375,1447.610107421875,554.4859008789062,79218.4765625,1554.93212890625,1676208165,48314590749,21315312919
2025-04-09,582.3693237304688,82573.953125,1668.0400390625,585.6036987304688,83541.0,1687.18798828125,534.8805541992188,74589.671875,1386.79931640625,553.4674072265625,76273.5625,1472.6014404296875,1963610005,84213627038,39252195855
2025-04-10,577.4059448242188,79626.140625,1522.518798828125,582.3907470703125,82700.9296875,1669.3941650390625,567.2200927734375,78456.1328125,1474.9141845703125,582.378173828125,82565.9765625,1668.2017822265625,1731740429,44718000633,21379604307
2025-04-11,586.0889892578125,83404.8359375,1567.1497802734375,589.8585205078125,84247.4765625,1587.53857421875,575.7572631835938,78936.3203125,1505.001953125,577.4059448242188,79625.046875,1522.4730224609375,1369541748,41656778779,14871838813
2025-04-12,597.123046875,85287.109375,1643.528564453125,600.055908203125,85856.1875,1666.017578125,583.9794921875,82769.375,1546.819580078125,586.0889892578125,83404.515625,1567.15576171875,1331878416,24258059104,12110995013
2025-04-13,584.04248046875,83684.9765625,1596.685791015625,597.5099487304688,86015.1875,1648.2867431640625,580.824462890625,83027.0078125,1564.8388671875,597.1232299804688,85279.46875,1643.5010986328125,1318461096,28796984817,13909890792
2025-04-14,584.335205078125,84542.390625,1622.7698974609375,592.5643920898438,85785.0,1689.8575439453125,583.3970336914062,83690.640625,1596.0865478515625,584.04248046875,83694.5234375,1596.8818359375,1359554984,34090769777,16518325094
2025-04-15,579.68603515625,83668.9921875,1588.6324462890625,590.5156860351562,86429.3515625,1659.836181640625,579.6400756835938,83598.8203125,1585.2291259765625,584.3346557617188,84539.6953125,1622.7718505859375,1329270099,28040322885,13175452875
2025-04-16,582.8062133789062,84033.8671875,1578.1053466796875,585.4108276367188,85428.28125,1610.7821044921875,576.459228515625,83100.6171875,1540.0338134765625,579.6860961914062,83674.5078125,1589.031005859375,1435912484,29617804112,15339621551
2025-04-17,590.1621704101562,84895.75,1582.54833984375,592.8593139648438,85449.0703125,1615.306884765625,581.203857421875,83749.75,1564.1956787109375,582.8062133789062,84030.671875,1578.01416015625,1401643770,21276866029,11312160796
2025-04-18,591.7638549804688,84450.8046875,1588.9246826171875,595.766357421875,85095.046875,1599.4168701171875,587.26611328125,84298.8828125,1573.9039306640625,590.1621704101562,84900.1875,1582.397216796875,1418376835,12728372364,7123507323
2025-04-19,591.7767944335938,85063.4140625,1612.9228515625,594.1421508789062,85597.703125,1629.051513671875,587.9763793945312,84353.4609375,1585.4730224609375,591.7638549804688,84450.8671875,1588.9697265625,1227124904,15259300427,7168138700
2025-04-20,592.972412109375,85174.3046875,1587.5142822265625,595.1541137695312,85306.3828125,1618.436767578125,587.765380859375,83976.84375,1566.6915283203125,591.7767944335938,85066.0703125,1612.966064453125,1307477245,14664050812,7642784469
2025-04-21,597.4141845703125,87518.90625,1579.7344970703125,607.8202514648438,88460.09375,1656.11962890625,592.6761474609375,85143.8359375,1566.1474609375,592.972412109375,85171.5390625,1587.4609375,1430343137,41396190190,15403785611
2025-04-22,618.8269653320312,93441.890625,1757.3316650390625,618.9900512695312,93817.3828125,1773.63916015625,595.8809814453125,87084.53125,1542.0003662109375,597.4171752929688,87521.875,1579.815185546875,1734142941,55899038456,23747917555
2025-04-23,605.8150024414062,93699.109375,1796.104248046875,619.8624877929688,94535.734375,1829.7099609375,601.9541625976562,91962.9609375,1746.924072265625,618.8269653320312,93427.5859375,1757.196533203125,1834047719,41719568821,22904644756
2025-04-24,601.7158203125,93943.796875,1769.8316650390625,606.7443237304688,94016.1953125,1801.69140625,594.3950805664062,91696.7109375,1724.74072265625,605.8150024414062,93692.3984375,1795.9794921875,1573943361,31483175315,15207402759
2025-04-25,600.1810302734375,94720.5,1786.634521484375,610.1796264648438,95768.390625,1826.696044921875,597.7703247070312,92898.59375,1740.3319091796875,601.7152709960938,93954.25,1770.003662109375,1735398071,40915232364,17459399281
2025-04-26,607.7041015625,94646.9296875,1821.881103515625,609.1361083984375,95251.359375,1839.363037109375,600.0881958007812,93927.25,1781.473876953125,600.19189453125,94714.6484375,1786.532958984375,1507509250,17612825123,11926379867
2025-04-28,604.442138671875,94110.4921875,1795.8770751953125,605.4913940429688,94203.8203125,1795.8770751953125,599.2000122070312,92922.0546875,1758.06591796875,603.65234375,93784.046875,1791.9918212890625,1426817152,19425515520,11278518272
